測站名稱,測站ID,縣市,鄉鎮,高度(m),緯度(WGS84),經度(WGS84),觀測時間,天氣狀況,氣溫(℃),相對濕度(%),氣壓(hPa),降雨量(mm),風速(m/s),風向(度),今日最高溫(℃),最高溫時間,今日最低溫(℃),最低溫時間
六塊厝,C0AJ60,新北市,淡水區,13.0,25.240002,121.448102,2026-07-02T10:00:00+08:00,晴,30.9,80,1010.0,0.0,2.4,275.0,31.2,2026-07-02T08:50:00+08:00,24.8,2026-07-02T02:20:00+08:00
田寮,C0AJ70,新北市,三芝區,21.0,25.269800,121.488597,2026-07-02T10:00:00+08:00,晴,30.6,84,1009.5,0.0,2.2,287.0,30.9,2026-07-02T08:30:00+08:00,25.7,2026-07-02T02:30:00+08:00
新興坑尾,C0C750,桃園市,觀音區,72.0,25.006066,121.097072,2026-07-02T10:00:00+08:00,晴,29.9,74,1003.1,0.0,3.2,273.0,29.9,2026-07-02T10:00:00+08:00,26.8,2026-07-02T05:00:00+08:00
蘇澳,C0UB10,宜蘭縣,蘇澳鎮,28.0,24.596944,121.857089,2026-07-02T10:00:00+08:00,晴,32.1,60,1007.9,0.0,2.8,193.0,32.1,2026-07-02T10:00:00+08:00,25.7,2026-07-02T05:20:00+08:00
壯圍,C0UB20,宜蘭縣,壯圍鄉,30.0,24.735922,121.816250,2026-07-02T10:00:00+08:00,晴,29.4,78,1009.1,0.0,2.4,56.0,30.3,2026-07-02T07:10:00+08:00,25.9,2026-07-02T05:20:00+08:00
北關,C0U880,宜蘭縣,頭城鎮,2.0,24.907222,121.873428,2026-07-02T10:00:00+08:00,晴,30.2,73,1010.7,0.0,5.0,58.0,31.1,2026-07-02T07:10:00+08:00,26.0,2026-07-02T04:30:00+08:00
防潮門,C0G950,彰化縣,伸港鄉,23.0,24.183494,120.487130,2026-07-02T10:00:00+08:00,晴,30.3,83,1009.5,0.0,3.3,313.0,30.8,2026-07-02T09:30:00+08:00,28.4,2026-07-02T04:00:00+08:00
臺中電廠,C0FA40,臺中市,龍井區,25.0,24.214641,120.490744,2026-07-02T10:00:00+08:00,晴,29.3,82,1009.8,0.0,3.0,336.0,29.4,2026-07-02T09:10:00+08:00,28.3,2026-07-02T03:40:00+08:00
福寶,C0G960,彰化縣,福興鄉,5.0,24.044302,120.381361,2026-07-02T10:00:00+08:00,晴,30.4,84,1010.6,0.0,4.6,314.0,30.4,2026-07-02T10:00:00+08:00,28.3,2026-07-02T01:50:00+08:00
三豐,C0G970,彰化縣,大城鄉,19.0,23.881975,120.289544,2026-07-02T10:00:00+08:00,晴,29.4,85,1009.4,0.0,4.4,340.0,31.1,2026-07-02T08:50:00+08:00,27.9,2026-07-02T04:30:00+08:00
箔子寮,C0K600,雲林縣,口湖鄉,14.0,23.619744,120.140036,2026-07-02T10:00:00+08:00,晴,29.7,82,1010.3,0.0,3.0,311.0,30.5,2026-07-02T07:50:00+08:00,28.1,2026-07-02T01:50:00+08:00
好美里,C0M880,嘉義縣,布袋鎮,27.0,23.336427,120.138033,2026-07-02T10:00:00+08:00,晴,30.3,82,1009.9,0.0,2.3,318.0,33.1,2026-07-02T08:50:00+08:00,28.3,2026-07-02T03:20:00+08:00
板橋,C0AJ80,新北市,板橋區,38.0,25.010653,121.448861,2026-07-02T10:00:00+08:00,晴,32.1,65,1007.4,0.0,1.8,317.0,32.8,2026-07-02T09:30:00+08:00,26.6,2026-07-02T05:00:00+08:00
東莒,C0W110,連江縣,莒光鄉,16.0,25.965197,119.980686,2026-07-02T10:00:00+08:00,多雲,29.3,79,1009.4,0.0,5.3,187.0,30.2,2026-07-02T08:20:00+08:00,27.2,2026-07-02T04:50:00+08:00
西嶼,C0W120,澎湖縣,西嶼鄉,58.0,23.562600,119.468436,2026-07-02T10:00:00+08:00,晴,29.4,84,1005.4,0.0,1.7,360.0,29.7,2026-07-02T08:50:00+08:00,26.4,2026-07-02T02:30:00+08:00
花嶼,C0W130,澎湖縣,望安鄉,18.0,23.400069,119.322761,2026-07-02T10:00:00+08:00,晴,29.2,85,1009.4,0.0,2.9,52.0,29.5,2026-07-02T09:20:00+08:00,25.9,2026-07-02T01:40:00+08:00
金沙,C0W140,金門縣,金沙鎮,21.0,24.488292,118.408778,2026-07-02T10:00:00+08:00,晴,32.4,64,1010.1,0.0,2.0,200.0,32.9,2026-07-02T09:50:00+08:00,26.9,2026-07-02T05:00:00+08:00
金寧,C0W150,金門縣,金寧鄉,42.0,24.457703,118.328989,2026-07-02T10:00:00+08:00,晴,32.3,66,1007.7,0.0,1.9,222.0,32.3,2026-07-02T10:00:00+08:00,27.7,2026-07-02T00:40:00+08:00
烏坵,C0W160,金門縣,烏坵鄉,49.0,24.994400,119.449556,2026-07-02T10:00:00+08:00,晴,30.2,76,1003.4,0.0,2.4,234.0,30.2,2026-07-02T10:00:00+08:00,26.9,2026-07-02T05:40:00+08:00
松山,C0AH70,臺北市,松山區,34.0,25.048711,121.550428,2026-07-02T10:00:00+08:00,晴,32.8,67,1007.8,0.0,1.2,53.0,32.8,2026-07-02T10:00:00+08:00,26.9,2026-07-02T05:30:00+08:00
高鐵苗栗,C0E870,苗栗縣,後龍鎮,34.0,24.607250,120.826094,2026-07-02T10:00:00+08:00,多雲,29.1,94,1009.1,0.0,0.3,322.0,29.9,2026-07-02T09:10:00+08:00,26.1,2026-07-02T05:40:00+08:00
高鐵雲林,C0K580,雲林縣,虎尾鎮,26.0,23.737456,120.417944,2026-07-02T10:00:00+08:00,多雲,31.9,72,1008.6,0.0,1.7,223.0,32.7,2026-07-02T09:40:00+08:00,26.9,2026-07-02T03:20:00+08:00
國一五楊N44K,C0C690,桃園市,龜山區,242.0,25.063861,121.340164,2026-07-02T10:00:00+08:00,晴,29.4,81,984.2,0.0,0.6,318.0,29.4,2026-07-02T10:00:00+08:00,25.4,2026-07-02T03:20:00+08:00
基隆嶼,C0B020,基隆市,中正區,86.0,25.191408,121.783914,2026-07-02T10:00:00+08:00,晴,31.6,74,1000.2,0.0,0.0,0.0,31.8,2026-07-02T09:50:00+08:00,26.0,2026-07-02T05:20:00+08:00
蘭嶼高中,C0S900,臺東縣,蘭嶼鄉,27.0,22.049094,121.512142,2026-07-02T10:00:00+08:00,晴,30.0,85,1010.2,13.0,6.2,147.0,30.0,2026-07-02T09:00:00+08:00,26.8,2026-07-02T03:30:00+08:00
蘭嶼燈塔,C0S910,臺東縣,蘭嶼鄉,212.0,22.081194,121.503117,2026-07-02T10:00:00+08:00,晴,29.7,85,989.6,12.0,1.0,65.0,29.7,2026-07-02T10:00:00+08:00,25.8,2026-07-02T03:30:00+08:00
白沙灣,C0AI20,新北市,石門區,25.0,25.283128,121.519058,2026-07-02T10:00:00+08:00,晴,30.4,84,1008.6,0.0,2.0,314.0,30.4,2026-07-02T10:00:00+08:00,25.4,2026-07-02T02:00:00+08:00
小林,C0V820,高雄市,甲仙區,441.0,23.148408,120.633250,2026-07-02T10:00:00+08:00,晴,31.6,67,963.6,0.0,1.0,183.0,31.7,2026-07-02T09:50:00+08:00,22.4,2026-07-02T06:00:00+08:00
大溪永福,C0C710,桃園市,大溪區,143.0,24.892936,121.324975,2026-07-02T10:00:00+08:00,晴,31.3,71,995.5,0.0,0.8,261.0,32.5,2026-07-02T09:40:00+08:00,24.3,2026-07-02T05:10:00+08:00
玉蘭,C0U650,宜蘭縣,大同鄉,442.0,24.675286,121.587061,2026-07-02T10:00:00+08:00,晴,31.2,65,962.7,0.0,1.5,88.0,31.2,2026-07-02T10:00:00+08:00,24.0,2026-07-02T02:50:00+08:00
五結,C0U780,宜蘭縣,五結鄉,15.0,24.686369,121.797944,2026-07-02T10:00:00+08:00,晴,31.7,64,1009.4,0.0,1.2,109.0,31.7,2026-07-02T09:50:00+08:00,25.9,2026-07-02T05:20:00+08:00
太平山,C0U710,宜蘭縣,大同鄉,1942.0,24.505486,121.525656,2026-07-02T10:00:00+08:00,晴,20.7,81,811.1,0.0,0.0,0.0,20.7,2026-07-02T10:00:00+08:00,16.0,2026-07-02T00:40:00+08:00
南山,C0U720,宜蘭縣,大同鄉,1260.0,24.437419,121.381669,2026-07-02T10:00:00+08:00,晴,28.1,50,887.8,0.0,2.6,64.0,28.3,2026-07-02T09:00:00+08:00,21.0,2026-07-02T02:00:00+08:00
雙連埤,C0U520,宜蘭縣,員山鄉,517.0,24.753033,121.641303,2026-07-02T10:00:00+08:00,晴,31.0,71,955.6,0.0,0.1,0.0,31.0,2026-07-02T10:00:00+08:00,21.0,2026-07-02T05:10:00+08:00
頭城,C0U860,宜蘭縣,頭城鎮,5.0,24.853233,121.830797,2026-07-02T10:00:00+08:00,晴,30.7,79,1010.3,0.0,4.3,52.0,31.8,2026-07-02T07:10:00+08:00,25.2,2026-07-02T05:10:00+08:00
大礁溪,C0U870,宜蘭縣,礁溪鄉,474.0,24.791042,121.675047,2026-07-02T10:00:00+08:00,晴,30.7,75,959.6,0.0,0.6,70.0,30.7,2026-07-02T10:00:00+08:00,24.0,2026-07-02T02:10:00+08:00
三星,C0U890,宜蘭縣,三星鄉,116.0,24.668122,121.653017,2026-07-02T10:00:00+08:00,晴,31.1,68,998.9,0.0,2.5,69.0,31.1,2026-07-02T10:00:00+08:00,24.5,2026-07-02T05:00:00+08:00
內城,C0U900,宜蘭縣,員山鄉,63.0,24.718133,121.687664,2026-07-02T10:00:00+08:00,晴,32.5,60,1004.8,0.0,1.0,46.0,32.7,2026-07-02T09:50:00+08:00,24.8,2026-07-02T05:00:00+08:00
冬山,C0U910,宜蘭縣,冬山鄉,17.0,24.633725,121.793697,2026-07-02T10:00:00+08:00,晴,31.2,69,1009.2,0.0,1.7,56.0,31.8,2026-07-02T09:10:00+08:00,26.3,2026-07-02T05:10:00+08:00
礁溪,C0U600,宜蘭縣,礁溪鄉,10.0,24.817539,121.765608,2026-07-02T10:00:00+08:00,晴,31.9,68,1009.3,0.0,1.2,81.0,32.1,2026-07-02T09:10:00+08:00,25.1,2026-07-02T04:40:00+08:00
龜山島,C0U750,宜蘭縣,頭城鎮,398.0,24.841667,121.953133,2026-07-02T10:00:00+08:00,多雲,24.6,93,966.0,0.0,6.6,135.0,24.6,2026-07-02T10:00:00+08:00,23.3,2026-07-02T04:50:00+08:00
三貂角,C0A970,新北市,貢寮區,96.0,25.007606,122.002058,2026-07-02T10:00:00+08:00,多雲,28.2,84,1001.4,0.0,9.0,190.0,28.6,2026-07-02T09:40:00+08:00,25.8,2026-07-02T04:50:00+08:00
羅東,C0U940,宜蘭縣,羅東鎮,25.0,24.681836,121.749344,2026-07-02T10:00:00+08:00,晴,34.1,64,1008.9,0.0,0.3,60.0,34.1,2026-07-02T10:00:00+08:00,25.1,2026-07-02T05:00:00+08:00
鶯子嶺,C0U950,宜蘭縣,頭城鎮,1012.0,24.897536,121.792444,2026-07-02T10:00:00+08:00,晴,29.9,43,904.1,0.0,1.5,112.0,30.4,2026-07-02T09:30:00+08:00,21.3,2026-07-02T04:00:00+08:00
大福,C0U970,宜蘭縣,壯圍鄉,7.0,24.800636,121.813892,2026-07-02T10:00:00+08:00,晴,30.1,76,1011.0,0.0,0.5,133.0,30.1,2026-07-02T10:00:00+08:00,25.3,2026-07-02T05:10:00+08:00
坪林石牌,C0U980,宜蘭縣,頭城鎮,573.0,24.864781,121.773961,2026-07-02T10:00:00+08:00,晴,29.3,86,947.9,0.0,1.6,146.0,29.8,2026-07-02T09:40:00+08:00,23.4,2026-07-02T04:40:00+08:00
天祥,C0T820,花蓮縣,秀林鄉,550.0,24.179597,121.495639,2026-07-02T10:00:00+08:00,晴,31.2,52,954.1,0.0,1.2,118.0,32.2,2026-07-02T09:40:00+08:00,21.1,2026-07-02T05:00:00+08:00
東華,C0Z100,花蓮縣,壽豐鄉,36.0,23.895250,121.549833,2026-07-02T10:00:00+08:00,晴,33.6,60,1008.3,0.0,0.3,302.0,33.6,2026-07-02T10:00:00+08:00,24.0,2026-07-02T04:30:00+08:00
鯉魚潭,C0T870,花蓮縣,壽豐鄉,135.0,23.935639,121.508944,2026-07-02T10:00:00+08:00,晴,31.8,61,996.2,0.0,0.9,146.0,31.9,2026-07-02T09:50:00+08:00,22.6,2026-07-02T04:50:00+08:00
水源,C0T9B0,花蓮縣,秀林鄉,558.0,23.991914,121.537181,2026-07-02T10:00:00+08:00,晴,29.3,73,951.8,0.0,1.4,122.0,29.3,2026-07-02T10:00:00+08:00,22.5,2026-07-02T04:50:00+08:00
鳳林山,C0T9G0,花蓮縣,鳳林鎮,605.0,23.735269,121.420131,2026-07-02T10:00:00+08:00,晴,28.4,67,947.7,0.0,0.9,216.0,28.4,2026-07-02T10:00:00+08:00,22.7,2026-07-02T04:30:00+08:00
光復,C0T960,花蓮縣,光復鄉,120.0,23.660694,121.424964,2026-07-02T10:00:00+08:00,晴,32.4,59,998.7,0.0,2.0,228.0,32.4,2026-07-02T10:00:00+08:00,23.2,2026-07-02T02:50:00+08:00
西林,C0T900,花蓮縣,萬榮鄉,160.0,23.811900,121.441458,2026-07-02T10:00:00+08:00,晴,32.3,61,992.0,0.0,1.8,130.0,32.5,2026-07-02T09:40:00+08:00,24.2,2026-07-02T04:50:00+08:00
月眉山,C0T9A0,花蓮縣,壽豐鄉,498.0,23.809928,121.539828,2026-07-02T10:00:00+08:00,晴,28.1,80,957.5,0.0,1.2,159.0,29.2,2026-07-02T09:10:00+08:00,22.9,2026-07-02T04:50:00+08:00
大坑,C0T9E0,花蓮縣,壽豐鄉,415.0,23.880628,121.581981,2026-07-02T10:00:00+08:00,晴,29.5,77,966.9,0.0,0.9,238.0,30.7,2026-07-02T09:30:00+08:00,23.5,2026-07-02T01:50:00+08:00
加路蘭山,C0T9H0,花蓮縣,豐濱鄉,725.0,23.682947,121.527400,2026-07-02T10:00:00+08:00,晴,27.5,81,933.8,0.0,2.9,133.0,28.9,2026-07-02T08:10:00+08:00,22.4,2026-07-02T02:20:00+08:00
水璉,C0T9F0,花蓮縣,壽豐鄉,251.0,23.797131,121.542514,2026-07-02T10:00:00+08:00,晴,31.6,72,984.2,0.0,0.5,183.0,32.0,2026-07-02T09:10:00+08:00,24.5,2026-07-02T02:20:00+08:00
豐濱,C0T9I0,花蓮縣,豐濱鄉,152.0,23.583897,121.514806,2026-07-02T10:00:00+08:00,晴,29.0,79,995.6,0.0,3.6,224.0,30.4,2026-07-02T08:40:00+08:00,23.9,2026-07-02T02:50:00+08:00
明里,C0Z020,花蓮縣,富里鄉,211.0,23.208717,121.262342,2026-07-02T10:00:00+08:00,晴,31.6,63,987.8,0.0,5.1,218.0,31.6,2026-07-02T10:00:00+08:00,22.3,2026-07-02T05:30:00+08:00
玉里,C0Z061,花蓮縣,玉里鎮,174.0,23.321500,121.339656,2026-07-02T10:00:00+08:00,晴,33.2,61,995.5,0.0,0.7,132.0,33.2,2026-07-02T10:00:00+08:00,23.7,2026-07-02T05:30:00+08:00
舞鶴,C0Z070,花蓮縣,瑞穗鄉,247.0,23.468114,121.374069,2026-07-02T10:00:00+08:00,晴,30.8,63,984.1,0.0,1.1,156.0,30.8,2026-07-02T10:00:00+08:00,22.9,2026-07-02T05:00:00+08:00
佳心,C0Z050,花蓮縣,卓溪鄉,830.0,23.345667,121.213164,2026-07-02T10:00:00+08:00,晴,27.6,63,923.7,0.0,0.6,120.0,27.6,2026-07-02T10:00:00+08:00,20.8,2026-07-02T05:40:00+08:00
富源,C0Z080,花蓮縣,光復鄉,298.0,23.587642,121.378225,2026-07-02T10:00:00+08:00,晴,32.0,63,979.1,0.0,0.8,158.0,32.0,2026-07-02T10:00:00+08:00,22.7,2026-07-02T04:20:00+08:00
吉安光華,C0Z150,花蓮縣,吉安鄉,27.0,23.930925,121.595153,2026-07-02T10:00:00+08:00,晴,30.8,73,1009.0,0.0,4.1,144.0,31.3,2026-07-02T09:20:00+08:00,24.9,2026-07-02T05:00:00+08:00
鳳林,C0Z160,花蓮縣,鳳林鎮,124.0,23.746114,121.453411,2026-07-02T10:00:00+08:00,晴,31.8,58,999.1,0.0,2.3,198.0,31.8,2026-07-02T10:00:00+08:00,23.9,2026-07-02T05:10:00+08:00
卓溪,C0Z170,花蓮縣,卓溪鄉,216.0,23.344331,121.302853,2026-07-02T10:00:00+08:00,晴,31.1,62,990.0,0.0,2.5,194.0,31.2,2026-07-02T09:50:00+08:00,23.1,2026-07-02T05:00:00+08:00
新城,C0Z180,花蓮縣,新城鄉,37.0,24.040486,121.604878,2026-07-02T10:00:00+08:00,晴,31.2,67,1008.3,0.0,2.4,144.0,31.7,2026-07-02T09:40:00+08:00,25.5,2026-07-02T05:00:00+08:00
富世,C0Z190,花蓮縣,秀林鄉,62.0,24.147433,121.629703,2026-07-02T10:00:00+08:00,晴,30.7,72,1004.9,0.0,3.1,157.0,31.2,2026-07-02T08:40:00+08:00,25.4,2026-07-02T04:50:00+08:00
萬榮,C0Z200,花蓮縣,鳳林鎮,153.0,23.709219,121.420106,2026-07-02T10:00:00+08:00,晴,31.6,58,995.3,0.0,2.7,199.0,31.6,2026-07-02T10:00:00+08:00,24.2,2026-07-02T05:20:00+08:00
瑞穗,C0Z210,花蓮縣,瑞穗鄉,126.0,23.523900,121.390211,2026-07-02T10:00:00+08:00,晴,31.4,64,998.8,0.0,1.4,121.0,31.4,2026-07-02T10:00:00+08:00,23.7,2026-07-02T05:20:00+08:00
瑞穗林道,C0Z250,花蓮縣,卓溪鄉,1124.0,23.492842,121.306883,2026-07-02T10:00:00+08:00,晴,28.6,64,891.3,0.0,0.4,58.0,29.0,2026-07-02T09:10:00+08:00,19.1,2026-07-02T05:00:00+08:00
蕃薯寮,C0Z270,花蓮縣,壽豐鄉,343.0,23.738350,121.540108,2026-07-02T10:00:00+08:00,晴,29.2,80,974.4,0.0,1.1,80.0,29.8,2026-07-02T08:30:00+08:00,23.2,2026-07-02T04:10:00+08:00
德武,C0Z280,花蓮縣,玉里鎮,224.0,23.474264,121.410711,2026-07-02T10:00:00+08:00,晴,32.0,57,987.6,0.0,0.8,168.0,32.0,2026-07-02T09:40:00+08:00,23.1,2026-07-02T05:40:00+08:00
赤柯山,C0Z290,花蓮縣,玉里鎮,946.0,23.368928,121.382931,2026-07-02T10:00:00+08:00,晴,27.5,77,910.8,0.0,0.6,165.0,27.5,2026-07-02T09:50:00+08:00,20.5,2026-07-02T04:00:00+08:00
東里,C0Z300,花蓮縣,富里鄉,182.0,23.268528,121.305469,2026-07-02T10:00:00+08:00,晴,32.4,61,993.0,0.0,2.7,196.0,32.4,2026-07-02T09:50:00+08:00,23.3,2026-07-02T05:30:00+08:00
清水斷崖,C0Z310,花蓮縣,秀林鄉,59.0,24.218294,121.689142,2026-07-02T10:00:00+08:00,晴,31.2,70,1005.9,0.0,1.8,197.0,32.3,2026-07-02T08:20:00+08:00,26.0,2026-07-02T04:20:00+08:00
清水林道,C0Z320,花蓮縣,卓溪鄉,646.0,23.271250,121.188272,2026-07-02T10:00:00+08:00,晴,30.3,53,942.2,0.0,0.9,71.0,30.3,2026-07-02T10:00:00+08:00,20.0,2026-07-02T05:20:00+08:00
安通山,C0Z330,花蓮縣,玉里鎮,488.0,23.290728,121.348528,2026-07-02T10:00:00+08:00,晴,31.2,65,959.4,0.0,0.1,0.0,31.2,2026-07-02T10:00:00+08:00,22.6,2026-07-02T05:50:00+08:00
靜浦,C0T9M0,花蓮縣,豐濱鄉,92.0,23.455167,121.495028,2026-07-02T10:00:00+08:00,晴,30.2,85,1003.0,0.0,3.8,170.0,30.7,2026-07-02T08:00:00+08:00,25.0,2026-07-02T04:40:00+08:00
長濱,C0S830,臺東縣,長濱鄉,288.0,23.286817,121.411975,2026-07-02T10:00:00+08:00,晴,32.1,72,981.6,0.0,1.6,131.0,32.4,2026-07-02T09:10:00+08:00,25.3,2026-07-02T05:00:00+08:00
東河,C0S810,臺東縣,東河鄉,65.0,22.972672,121.303986,2026-07-02T10:00:00+08:00,晴,32.0,75,1007.5,0.0,1.7,193.0,32.6,2026-07-02T08:40:00+08:00,24.7,2026-07-02T03:10:00+08:00
綠島,C0S730,臺東縣,綠島鄉,110.0,22.667203,121.475328,2026-07-02T10:00:00+08:00,多雲,30.0,83,1000.1,0.0,3.1,179.0,32.4,2026-07-02T07:20:00+08:00,26.4,2026-07-02T04:30:00+08:00
下馬,C0S660,臺東縣,海端鄉,794.0,23.150194,121.070025,2026-07-02T10:00:00+08:00,晴,27.6,63,927.2,0.0,1.2,77.0,28.4,2026-07-02T09:30:00+08:00,18.3,2026-07-02T04:30:00+08:00
向陽,C0S750,臺東縣,海端鄉,2280.0,23.248397,120.986133,2026-07-02T10:00:00+08:00,晴,21.4,63,777.4,0.0,0.5,87.0,21.4,2026-07-02T10:00:00+08:00,13.0,2026-07-02T00:20:00+08:00
紅石,C0S760,臺東縣,海端鄉,1624.0,23.069131,121.125856,2026-07-02T10:00:00+08:00,晴,22.6,82,842.8,0.0,0.9,136.0,22.6,2026-07-02T10:00:00+08:00,16.8,2026-07-02T01:10:00+08:00
池上,C0S740,臺東縣,池上鄉,289.0,23.119628,121.209469,2026-07-02T10:00:00+08:00,晴,31.1,66,980.7,0.0,1.8,232.0,31.1,2026-07-02T10:00:00+08:00,22.7,2026-07-02T03:40:00+08:00
鹿野,C0S710,臺東縣,鹿野鄉,382.0,22.917711,121.122994,2026-07-02T10:00:00+08:00,晴,30.8,72,970.6,0.0,1.2,169.0,30.8,2026-07-02T10:00:00+08:00,23.2,2026-07-02T05:10:00+08:00
土坂,C0SA80,臺東縣,達仁鄉,136.0,22.453108,120.887572,2026-07-02T10:00:00+08:00,陰,29.7,80,997.6,0.5,0.3,103.0,29.9,2026-07-02T09:10:00+08:00,24.3,2026-07-02T04:40:00+08:00
大溪山,C0S770,臺東縣,太麻里鄉,375.0,22.478475,120.943325,2026-07-02T10:00:00+08:00,陰,27.9,84,971.2,0.0,1.1,31.0,27.9,2026-07-02T08:20:00+08:00,23.2,2026-07-02T03:30:00+08:00
南田,C0S840,臺東縣,達仁鄉,22.0,22.279725,120.889208,2026-07-02T10:00:00+08:00,陰有雨,26.8,92,1012.3,28.0,0.4,329.0,28.0,2026-07-02T09:30:00+08:00,25.7,2026-07-02T05:40:00+08:00
金崙,C0S790,臺東縣,太麻里鄉,236.0,22.538122,120.966875,2026-07-02T10:00:00+08:00,陰,30.8,76,987.8,0.0,0.7,93.0,31.1,2026-07-02T09:40:00+08:00,24.6,2026-07-02T04:20:00+08:00
太麻里,C0S690,臺東縣,太麻里鄉,522.0,22.609022,120.985328,2026-07-02T10:00:00+08:00,多雲,31.1,72,954.8,0.0,1.0,59.0,31.4,2026-07-02T09:50:00+08:00,22.8,2026-07-02T03:00:00+08:00
知本,C0S700,臺東縣,卑南鄉,507.0,22.684872,121.005644,2026-07-02T10:00:00+08:00,多雲,30.1,74,957.6,0.0,1.5,88.0,31.8,2026-07-02T08:50:00+08:00,21.5,2026-07-02T04:50:00+08:00
富里,C0T9N0,花蓮縣,富里鄉,261.0,23.171639,121.249378,2026-07-02T10:00:00+08:00,晴,31.5,60,983.5,0.0,1.7,257.0,31.5,2026-07-02T09:50:00+08:00,22.8,2026-07-02T05:30:00+08:00
中壢,C0C700,桃園市,中壢區,151.0,24.977661,121.256375,2026-07-02T10:00:00+08:00,晴,31.0,72,995.4,0.0,0.9,327.0,31.0,2026-07-02T10:00:00+08:00,27.4,2026-07-02T02:30:00+08:00
柳營,C0X320,臺南市,柳營區,30.0,23.253328,120.375253,2026-07-02T10:00:00+08:00,多雲,32.3,66,1007.6,0.0,1.7,276.0,32.9,2026-07-02T09:50:00+08:00,25.6,2026-07-02T04:50:00+08:00
關西,C0D700,新竹縣,關西鎮,155.0,24.797653,121.173239,2026-07-02T10:00:00+08:00,多雲,30.8,72,993.4,0.0,0.5,278.0,30.8,2026-07-02T10:00:00+08:00,24.0,2026-07-02T05:20:00+08:00
新美,C0M860,嘉義縣,阿里山鄉,578.0,23.338017,120.683331,2026-07-02T10:00:00+08:00,晴,28.3,77,948.2,0.0,0.3,103.0,28.3,2026-07-02T09:30:00+08:00,22.8,2026-07-02T05:40:00+08:00
永靖,C0G920,彰化縣,永靖鄉,42.0,23.924703,120.547533,2026-07-02T10:00:00+08:00,晴,31.6,69,1007.2,0.0,1.5,275.0,32.0,2026-07-02T09:30:00+08:00,27.6,2026-07-02T04:00:00+08:00
竹塘,C0G940,彰化縣,竹塘鄉,21.0,23.848253,120.386764,2026-07-02T10:00:00+08:00,晴,31.6,76,1009.9,0.0,0.9,319.0,32.9,2026-07-02T09:50:00+08:00,26.9,2026-07-02T02:20:00+08:00
雲林東勢,C0K590,雲林縣,東勢鄉,18.0,23.674194,120.255722,2026-07-02T10:00:00+08:00,晴,31.8,77,1009.7,0.0,1.3,276.0,32.4,2026-07-02T09:20:00+08:00,27.7,2026-07-02T03:50:00+08:00
車城,C0R320,屏東縣,車城鄉,7.0,22.074400,120.716247,2026-07-02T10:00:00+08:00,多雲有雨,31.2,82,1011.3,5.0,1.7,86.0,31.2,2026-07-02T10:00:00+08:00,25.9,2026-07-02T05:00:00+08:00
大漢山,C0R440,屏東縣,春日鄉,1679.0,22.405264,120.753181,2026-07-02T10:00:00+08:00,陰有雨,18.5,100,836.2,3.5,5.5,62.0,18.5,2026-07-02T10:00:00+08:00,16.7,2026-07-02T01:00:00+08:00
枋山,C0R700,屏東縣,枋山鄉,18.0,22.247814,120.660794,2026-07-02T10:00:00+08:00,陰,29.6,74,1010.5,0.0,3.7,143.0,31.3,2026-07-02T08:00:00+08:00,28.5,2026-07-02T06:20:00+08:00
枋寮,C0R660,屏東縣,枋寮鄉,20.0,22.367722,120.590647,2026-07-02T10:00:00+08:00,多雲,30.4,78,1009.6,0.0,7.5,186.0,31.3,2026-07-02T07:00:00+08:00,27.2,2026-07-02T02:50:00+08:00
楓港,C0R670,屏東縣,枋山鄉,26.0,22.190131,120.692156,2026-07-02T10:00:00+08:00,多雲有雨,27.7,90,1010.1,2.0,0.8,178.0,29.4,2026-07-02T07:50:00+08:00,27.0,2026-07-02T05:40:00+08:00
檳榔,C0R280,屏東縣,滿州鄉,242.0,22.076075,120.836794,2026-07-02T10:00:00+08:00,多雲,26.6,100,985.6,34.0,1.1,50.0,26.6,2026-07-02T10:00:00+08:00,23.8,2026-07-02T05:30:00+08:00
牡丹,C0R341,屏東縣,牡丹鄉,230.0,22.130036,120.792639,2026-07-02T10:00:00+08:00,多雲有雨,27.0,100,986.5,21.0,0.4,42.0,27.0,2026-07-02T10:00:00+08:00,24.4,2026-07-02T05:40:00+08:00
佳樂水,C0R680,屏東縣,滿州鄉,13.0,21.993578,120.861633,2026-07-02T10:00:00+08:00,多雲,29.8,87,1011.6,29.0,4.2,90.0,30.0,2026-07-02T09:50:00+08:00,25.9,2026-07-02T04:40:00+08:00
墾丁,C0R690,屏東縣,恆春鎮,248.0,21.966756,120.810269,2026-07-02T10:00:00+08:00,多雲,28.1,91,985.2,15.0,2.4,144.0,28.1,2026-07-02T10:00:00+08:00,24.8,2026-07-02T04:50:00+08:00
旭海,C0R720,屏東縣,牡丹鄉,214.0,22.205403,120.887614,2026-07-02T10:00:00+08:00,多雲有雨,26.6,96,988.8,22.5,3.2,14.0,26.6,2026-07-02T10:00:00+08:00,24.2,2026-07-02T05:20:00+08:00
貓鼻頭,C0R350,屏東縣,恆春鎮,35.0,21.921689,120.735817,2026-07-02T10:00:00+08:00,多雲,29.2,83,1008.8,0.0,4.8,111.0,30.8,2026-07-02T09:30:00+08:00,27.1,2026-07-02T05:20:00+08:00
墾雷,C0R620,屏東縣,恆春鎮,34.0,21.900836,120.855269,2026-07-02T10:00:00+08:00,多雲,30.1,89,1010.0,1.0,2.8,17.0,30.8,2026-07-02T09:30:00+08:00,27.0,2026-07-02T04:40:00+08:00
